conference,region,institution-name,organization,group,position-information,position,prefix,name,lastname,suffix,gender,location,yearbook-year,page,source-pdf
General,,,,appointed assistants,,statistical secretary,W. W.,W. W. Prescott,Prescott,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,D. C. W. A.,D. C. W. A. Spicer,Spicer,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,D. C. L. A.,D. C. L. A. Hoopes,Hoopes,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,A. T.,A. T. Jones,Jones,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,W. C.,W. C. White,White,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,C.,C. FT,FT,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
Ministers Under The Direction Of The General,,,,other members,,member,I. H.,I. H. Evans,Evans,,,J. H. Kellogg,1904,15,YB1904.pdf
Ontario,,,,ministers,,president,,Fitch Bay,Bay,,,Quebec. Office of,1904,25,YB1904.pdf
Ontario,,,,ministers,,secretary,St. St.,4230 St. Catherine St.,Catherine,,,"Montreal, Quebec",1904,25,YB1904.pdf
Southern Union,,,,officers,,president,J. E.,J. E. White,White,,,"Station K, Nashville, Tenn",1904,27,YB1904.pdf
Southern Union,,,,officers,,vice-president,F. R.,F. R. Rogers,Rogers,,,"Box 29, Vicksburg, Miss. Secretary and",1904,27,YB1904.pdf
Southern Union,,,,officers,,treasurer,B. W.,B. W. Spire,Spire,,,"Station K, Nashville, Tenn. ALABAMA CONFERENCE. Organized 1901. Territory: The State of Alabama. Population: 1,828,697. Membership: 100; churches, 10. Office: Attalla, Ala",1904,27,YB1904.pdf
Lake Union,,,,other members,,member,T. B.,T. B. Snow,Snow,,,"F. Stebbeds, J. a. Mikkelsen. Medical Missionary Board: Win. Covert (Chairman), J. H. Bramhall, Dr. C. P. Farnsworth, R. T. Dowsett, H. W. Reed, N. P. Neilsen, Dr. W. H. Budge",1904,38,YB1904.pdf
Pacific Union,,,,officers,,secretary,E. S.,E. S. Ballenger,Ballenger,,,"(511 Stewart Ave., Redlands)",1904,54,YB1904.pdf
Australasian Union,,,,licentiates,,treasurer,B. J.,B. J. Cady,Cady,,,"SUMATRA MISSION. Address: Padang, West Coast Sumatra, Netherlands, East In- dies. Membership: 12; churches, 2. Director and",1904,61,YB1904.pdf
Australasian Union,,,,licentiates,,treasurer,J.,J. Cady,Cady,,,"SUMATRA MISSION. Address: Padang, West Coast Sumatra, Netherlands, East In- dies. Membership: 12; churches, 2. Director and",1904,61,YB1904.pdf
Australasian Union,,,,licentiates,,treasurer,J.,J. Deane,Deane,,,"SUMATRA MISSION. Address: Padang, West Coast Sumatra, Netherlands, East In- dies. Membership: 12; churches, 2. Director and",1904,61,YB1904.pdf
Australasian Union,,,,licentiates,,treasurer,M.,M. Nelson,Nelson,,,"SUMATRA MISSION. Address: Padang, West Coast Sumatra, Netherlands, East In- dies. Membership: 12; churches, 2. Director and",1904,61,YB1904.pdf
Australasian Union,,,,licentiates,,treasurer,R. W.,R. W. Munson,Munson,,,"Norfolk Island, Pacific Ocean. Sabbath-school",1904,61,YB1904.pdf
Australasian Union,,,,licentiates,,treasurer,S. T.,S. T. Belden,Belden,,,"Norfolk Island, Pacific Ocean. Sabbath-school",1904,61,YB1904.pdf
Australasian Union,,,,licentiates,,secretary,S. T.,S. T. Belden,Belden,,,,1904,61,YB1904.pdf
General European,,,,officers,,president,L. R.,L. R. Conradi,Conradi,,,"Grindelberg 15a, Hamburg, Germany",1904,62,YB1904.pdf
General European,,,,officers,,vice-president,0. A..,0. A.. Olsen,Olsen,,,"451 Holloway Road, London, N., England. Recording",1904,62,YB1904.pdf
General European,,,,officers,,secretary,H. R.,H. R. Salisbury,Salisbury,,,"451 Holloway Road, London, N., England. Corresponding",1904,62,YB1904.pdf
General European,,,,officers,,secretary,,G u y Grindelberg• 15a,15a,,,"Hamburg, Germany",1904,62,YB1904.pdf
General European,,,,officers,,treasurer,W. C.,W. C. Sisley,Sisley,,,"451 Holloway Road, London, N., England",1904,62,YB1904.pdf
General European,,,,officers,,auditor,E.,E. Lind,Lind,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,L. R.,L. R. Conradi,Conradi,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,A.,A. Olsen,Olsen,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,W. C.,W. C. Sisley,Sisley,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,P. A.,P. A. Hansen,Hansen,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,B. G.,B. G. Wilkinson,Wilkinson,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,A.,A. Johnson,Johnson,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,P. A.,P. A. De,De,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,H. F.,H. F. Schuberth,Schuberth,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,D. P.,D. P. Gaede,Gaede,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,J. T.,J. T. Boettcher,Boettcher,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,H. R.,H. R. Salisbury,Salisbury,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,W. H.,W. H. Wakeham,Wakeham,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,A. B.,A. B. Olsen,Olsen,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
General European,,,,officers,,auditor,A. J.,A. J. Hoenes,Hoenes,,,"Grindelberg 15a, Hamburg, Germany. GERMAN UNION CONFERENCE. Organized 1901. Territory: German Empire, German-Switzerland, Luxemburg, Russia, Holland, Flemish Belgium, Austria-Hungaria, Rumania, Bulgaria, Servia, Mon- • tenegro. Population: 260,300,000. Membership: 4,734; churches, 161. Telegraphic Address: Conradi, Grindelberg, Hamburg. Office Address for German Union Conference, and all the German Union fields and workers: Grindelberg 15a, Hamburg, Germany.",1904,62,YB1904.pdf
British Union,,,,other members,,member,J.,J. Bergstrom,Bergstrom,,,"B. J. Karlsson, J. M. Erikson; Auditofs, K. Mattson, B. 0. Olssen",1904,67,YB1904.pdf
South African Union,,,,officers,,auditor,J. V.,J. V. Willson,Willson,,,"7 Cheapside, Kimberley, South Africa",1904,72,YB1904.pdf
General,,,,other members,,member,N. W.,N. W. Alice,Alice,,,"Dr. 0. M. Hayward, J. N. Nelson. Editor: The Southern Watchman, Geo. I. Butler; Associate Editors, Elder J. E. White, Miss Eliza J. Burnham. INTERNATIONAL PUBLISHING ASSOCIATION. College View, Nebr. Established 1903. Field of Operation: The publication and sale of German, Danish-Norwegian, and Swedish literature among those nationalities in the United States",1904,87,YB1904.pdf
General,,,,other members,,member,A. R.,A. R. Henry,Henry,,,"L. McCoy, D. Paulson, Geo. Thomason, A. T. Jones, W. H. Riley. Faculty: Supt., J. H. Kellogg, M. D.; Accountant and Steward, M. W. Wentworth; Gen. Matron, Abbie E. Aldrich; Chaplain, L. McCoy; Receiving Physician, J. F. Morse; Medical Clerk, R. H. Harris; Medical Matron, Elizabeth M. Harris; Physicians in Charge: J. H. Kellogg, J. F. Morse, W. H. Riley, C. E. Stewart, Geo. Thomason, J. F. Byington, Frank J. Otis, Elmer F. Otis, E. L. Eggleston, R. H. Harris, Lillian B. Eshelman, Elizabeth M. Harris, S. Etta Kerby, Carrie E. Staines, Jean A. Vernier, Julia A. White, Mary F. Dryden. CHICAGO SANITARIUM. 28 Thirty-third Place, Chicago, Ill. Faculty: Med. Supt., David Paulson, M. D.; M. A. Mortensen, M. D.; N. G. Evans, M. D.; Matron, Mrs. • E. B. VanDorn; Treas., N. W. Paulson; Chaplain and Supt. of Life Boat Mission, E. B. VanDorn; Matron Life Boat Rest, Fannie Emmel; Dispensatory Physicians, J. Edgar Colloran, M. D., and Mary I. Goodison, M. D. 94 PACIFIC UNION MEDICAL MISSIONARY AND BENEVOLENT ASSOCIATION. Room 203, Parrott Bldg., 825 Market St., San Francisco, Cal. Incorporated 1902. Directors: Pres., W. R. Simmons, M. D.; Sec. and Treas., E. E. Parlin; T. J. Evans, M. D.; A. N. Loper, M. D.; Silas Yarnell, M. D.; A. Q. Shryock, M. D.; W. T. Knox, A. Boeker. AFFILIATING ASSOCIATIONS AND INSTITUTIONS. CALIFORNIA MEDICAL MIS- SIONARY AND BENEVOLENT ASSOCIATION. Incorporated August 2, 1898. Directors: Pres., T. J. Evans, M. D.; Sec., E. E. Parlin; Treas., G. H. Heald, M. D.; R. A. Buchanan, M. D.; W. T. Knox; L. M. Bowen, W. C. White, W. S. -Sadler, A. Boeker. DEPARTMENTAL ENTER- PRISES. ST. HELENA SANITARIUM. Sanitarium, Napa County, Cal. Committee of Counsel: L. M. Bowen, T. J. Evans, C. L. Taylor, Mrs. J. L. Jugs, H. E. Ross",1904,96,YB1904.pdf
General,,,,other members,,member,C. B.,C. B. Jensen,Jensen,,,"Johanne Christensen. SKODSBORG SANATORIUM. (Scandinavian Philanthropic So- ciety.) Skodsborg, Denmark. Office: S Kongensgade 36, Copenhagen",1904,102,YB1904.pdf
General,,,,officers,,president,A. G.,A. G. Daniells,Daniells,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,president,D. C.,D. C. Vice-Presidents,Vice-Presidents,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,president,L. R.,L. R. Conradi,Conradi,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,president,A.,A. Irwin,Irwin,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,secretary,W. A.,W. A. Spicer,Spicer,,,"Takoma Park Station, Washington, D. C",1905,19,YB1905.pdf
General,,,,officers,,treasurer,I. H.,I. H. Evans,Evans,,,"Takoma Park Station, Washington, D. C",1905,19,YB1905.pdf
General,,,,appointed assistants,,secretary,,Miss Estella Houser,Houser,,Female,"Takoma Park Station, Washington, D. C",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,H. E.,H. E. Rogers,Rogers,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,D. C.,D. C. EXECUTIVE,EXECUTIVE,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,A. G.,A. G. Daniells,Daniells,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,D. C. L. R.,D. C. L. R. Conradi,Conradi,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,G. A.,G. A. Irwin,Irwin,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,D. C. W. A.,D. C. W. A. Spicer,Spicer,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,H. W.,H. W. Cottrell,Cottrell,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. H.,W. H. Thurston,Thurston,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,R. A.,R. A. Underwood,Underwood,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,E. T.,E. T. Russell,Russell,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. B.,W. B. White,White,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,A.,A. Olsen,Olsen,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,P. A.,P. A. Hansen,Hansen,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,E. E.,E. E. Andross,Andross,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. H.,W. H. Wakeham,Wakeham,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. S.,W. S. Hyatt,Hyatt,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,J. W.,J. W. Westphal,Westphal,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,officers,,secretary,J. S.,J. S. Washburn,Washburn,,,"Magnolia Ave., Takoma Park Station, Washington, D. C",1905,23,YB1905.pdf
General,,,,officers,,treasurer,J. H.,J. H. Neall,Neall,,,"1528 Ninth St., N. W., Washington, D. C",1905,23,YB1905.pdf
Atlantic Union,,,,officers,,president,H. W.,H. W. Cottrell,Cottrell,,,"South Lancaster, Mass. Secretary and",1905,24,YB1905.pdf
Atlantic Union,,,,officers,,treasurer,W. A.,W. A. Wilcox,Wilcox,,,"South Lancaster, Mass",1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,H. W.,H. W. Cottrell,Cottrell,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,W. A.,W. A. Wilcox,Wilcox,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,C. C.,C. C. Nicola,Nicola,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,G. W.,G. W. Palmer,Palmer,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,S. N.,S. N. Curtiss,Curtiss,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,F. E.,F. E. Painter,Painter,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,E. E.,E. E. Miles,Miles,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,W.,W. Cottrell,Cottrell,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,A.,A. Wilcox,Wilcox,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,D.,D. Mattson,Mattson,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,E.,E. Place,Place,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,J.,J. Edward,Edward,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,W.,W. Palmer,Palmer,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,F.,F. Bicknell,Bicknell,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,A. J.,A. J. Read,Read,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,A. R.,A. R. Satterlee,Satterlee,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,J. R.,J. R. Scott,Scott,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,E. H. M.,E. H. M. Sell,Sell,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,M. D.,M. D. Mattson,Mattson,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,auditor,J. E.,J. E. Jayne,Jayne,,,,1905,24,YB1905.pdf
Atlantic Union,,,,officers,,president,A. E.,A. E. Place,Place,,,"South Lancaster, Mass",1905,25,YB1905.pdf
Atlantic Union,,,,officers,,president,H. B.,H. B. Tucker,Tucker,,,"South Lancaster, Mass",1905,25,YB1905.pdf
Atlantic Union,,,,officers,,president,S.,S. Wheeler,Wheeler,,,"South Lancaster, Mass",1905,25,YB1905.pdf
Atlantic Union,,,,officers,,president,H. C.,H. C. Wilcox,Wilcox,,,"South Lancaster, Mass",1905,25,YB1905.pdf
Chesapeake,,,,officers,,president,D. C.,D. C. Sec,Sec,,,"903 Woodley St., Baltimore, Md. S. S",1905,25,YB1905.pdf
Chesapeake,,,,officers,,president,H. S.,H. S. Weaver,Weaver,,,"903 Woodley St., Baltimore, Md. S. S",1905,25,YB1905.pdf
Chesapeake,,,,officers,,secretary,V.,V. Price,Price,,,•,1905,25,YB1905.pdf
Chesapeake,,,,officers,,secretary,J. F.,J. F. Jones,Jones,,,•,1905,25,YB1905.pdf
Chesapeake,,,,officers,,secretary,J. A.,J. A. Traugh,Traugh,,,•,1905,25,YB1905.pdf
Chesapeake,,,,officers,,secretary,D. E.,D. E. Bell,Bell,,,•,1905,25,YB1905.pdf
Chesapeake,,,,officers,,secretary,J. H.,J. H. Rhodes,Rhodes,,,•,1905,25,YB1905.pdf
Eastern Pennsylvania,,,,officers,,president,W. J.,W. J. Fitzgerald,Fitzgerald,,,"1942 North Seventeenth St., Philadelphia, Pa",1905,25,YB1905.pdf
Eastern Pennsylvania,,,,officers,,vice-president,W. H.,W. H. Smith,Smith,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
Eastern Pennsylvania,,,,officers,,vice-president,V. H.,V. H. Cook,Cook,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
Eastern Pennsylvania,,,,officers,,vice-president,S. S.,S. S. Dept,Dept,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
Eastern Pennsylvania,,,,officers,,vice-president,B.,B. Underwood,Underwood,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
Greater New York,,,,officers,,president,C. H.,C. H. Edwards,Edwards,,,"57 Grand St., New York City",1905,26,YB1905.pdf
