conference,region,institution-name,organization,group,position-information,position,prefix,name,lastname,suffix,gender,location,yearbook-year,page,source-pdf
General,,,,officers,,auditor,J.,J. Edward,Edward,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,W.,W. Palmer,Palmer,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,F.,F. Bicknell,Bicknell,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,A. J.,A. J. Read,Read,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,A. R.,A. R. Satterlee,Satterlee,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,J. R.,J. R. Scott,Scott,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,E. H. M.,E. H. M. Sell,Sell,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,M. D.,M. D. Mattson,Mattson,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,J. E.,J. E. Jayne,Jayne,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,F.,F. Cottrell,Cottrell,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,S. N.,S. N. Haskell,Haskell,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,J. L.,J. L. Johnson,Johnson,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,N. Y.,N. Y. CENTRAL,CENTRAL,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,president,A. E.,A. E. Place,Place,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,H. B.,H. B. Tucker,Tucker,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,S.,S. Wheeler,Wheeler,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,H. C.,H. C. Wilcox,Wilcox,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,F. C.,F. C. Gilbert,Gilbert,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,E. E.,E. E. Miles,Miles,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,H. C.,H. C. Hartwell,Hartwell,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,W. R.,W. R. Uchtmann,Uchtmann,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,C. E.,C. E. Palmer,Palmer,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,M.,M. Wilber,Wilber,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,N. H.,N. H. CHESAPEAKE,CHESAPEAKE,,,"CONFERENCE. Organized 1899. Territory: Delaware and Maryland, and the three counties of Morgan, Berkeley, and Jefferson, in West Virginia; and excepting the District of Columbia and Takoma, Park. Population: 1,419,586. Membership: 500; churches, 11. Office: 903 Woodley St., Baltimore, Md",1905,25,YB1905.pdf
General,,,,officers,,president,D. C.,D. C. Sec,Sec,,,"903 Woodley St., Baltimore, Md. S. S",1905,25,YB1905.pdf
General,,,,officers,,president,H. S.,H. S. Weaver,Weaver,,,"903 Woodley St., Baltimore, Md. S. S",1905,25,YB1905.pdf
General,,,,officers,,secretary,V.,V. Price,Price,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,J. F.,J. F. Jones,Jones,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,J. A.,J. A. Traugh,Traugh,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,D. E.,D. E. Bell,Bell,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,J. H.,J. H. Rhodes,Rhodes,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,D. C. V. H.,D. C. V. H. Lucas,Lucas,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,D. C. J. F.,D. C. J. F. Jones,Jones,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,H.,H. Seeney,Seeney,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,H. S.,H. S. Weaver,Weaver,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,secretary,I.,I. Tarbell,Tarbell,,,"Rock Hall, Md. EASTERN PENNSYLVANIA CONFERENCE. Organized 1903, out of territory comprising the Pennsylvania Conference, which was organized in 1879. Territory: That portion of Pennsylvania lying east of the easterly line of Potter, Clinton, Center, Mifflin, Huntingdon, and Fulton counties. Population: 3,800,000. Membership: 700; churches, 27. Office: 1809 Wallace St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,president,W. J.,W. J. Fitzgerald,Fitzgerald,,,"1942 North Seventeenth St., Philadelphia, Pa",1905,25,YB1905.pdf
General,,,,officers,,vice-president,W. H.,W. H. Smith,Smith,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
General,,,,officers,,vice-president,V. H.,V. H. Cook,Cook,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
General,,,,officers,,vice-president,S. S.,S. S. Dept,Dept,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
General,,,,officers,,vice-president,B.,B. Underwood,Underwood,,,"433 Anthony St., Williamsport, Pa",1905,25,YB1905.pdf
General,,,,officers,,president,C. H.,C. H. Edwards,Edwards,,,"1039 East One Hundred and Sixtyninth St., New York City",1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,E. H.,E. H. Hall,Hall,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,C. H.,C. H. Edwards,Edwards,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,E.,E. Reinke,Reinke,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,N. Y.,N. Y. Steen,Steen,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,N. Y. R. H.,N. Y. R. H. Martin,Martin,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,E. H. M.,E. H. M. Sell,Sell,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,G. M.,G. M. Chaffee,Chaffee,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,J. A.,J. A. Wood,Wood,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,N. Y.,N. Y. Medical,Medical,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary and Treasurer of Conference and Tract Society,S. A.,S. A. Maxwell,Maxwell,,,,1905,26,YB1905.pdf
General,,,,officers,,Secretary S. S. Dept.,L. H.,L. H. Proctor,Proctor,,,"Sayville, Long Island",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,R. H.,R. H. Martin,Martin,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,C. H.,C. H. Edwards,Edwards,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,E.,E. Reinke,Reinke,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,N. Y. L. H.,N. Y. L. H. Proctor,Proctor,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,H. E.,H. E. Robinson,Robinson,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,M. L.,M. L. Andreason,Andreason,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,N. Y.,N. Y. LICENTIATE,LICENTIATE,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,A.,A. King,King,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,K.,K. Humphrey,Humphrey,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,C.,C. Hennessy,Hennessy,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,N. Y. G. A.,N. Y. G. A. Roggenkamp,Roggenkamp,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,N. Y.,N. Y. John,John,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,J.,J. Kennedy,Kennedy,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,Secretary Educational Dept.,R.,R. Leo,Leo,,,"275 Euclid Ave., Brooklyn, N. Y",1905,26,YB1905.pdf
General,,,,officers,,president,P. F.,P. F. Bicknell,Bicknell,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,H.,H. Morton,Morton,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,S. S.,S. S. Dept,Dept,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,S. S.,S. S. Sec,Sec,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,M.,M. Grant,Grant,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,W. H.,W. H. Walters,Walters,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,E. C.,E. C. Taylor,Taylor,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,B. F.,B. F. Davis,Davis,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,J. B.,J. B. Goodrich,Goodrich,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,P. B.,P. B. Osborne,Osborne,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,R. F. D.,R. F. D. Nos,Nos,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,S. J.,S. J. Hersum,Hersum,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,J. E.,J. E. Cross,Cross,,,"NEW JERSEY CONFERENCE. Organized 1902.. Territory: The State of New Jersey. Population: 1,883,669. Membership: 403; churches, 14. Office: 5£4 Benson St., Camden, N. J",1905,27,YB1905.pdf
General,,,,officers,,president,J. E.,J. E. Jayne,Jayne,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,C. H.,C. H. Keslake,Keslake,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,J. W.,J. W. Rambo,Rambo,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,F. F.,F. F. Stoll,Stoll,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,H. J.,H. J. Adams,Adams,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,J. C.,J. C. Stevens,Stevens,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,A. R.,A. R. Bell,Bell,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,N. J.,N. J. NEW,NEW,,,"YORK CONFERENCE. Organized 1862. Territory: The State of New York, except that portion comprised in the Greater New York Con- ference. Population: 3,300,000. Membership: 1,750; churches, 69. Office: 317 West Bloomfield St., Rome, N. Y",1905,27,YB1905.pdf
General,,,,officers,,president,S. H.,S. H. Lane,Lane,,,"1, Randolph, N.Y",1905,27,YB1905.pdf
General,,,,officers,,president,T. E.,T. E. Bowen,Bowen,,,"1, Randolph, N.Y",1905,27,YB1905.pdf
General,,,,officers,,president,H. W.,H. W. Carr,Carr,,,"1, Randolph, N.Y",1905,27,YB1905.pdf
General,,,,officers,,president,R. F. D.,R. F. D. No,No,,,"1, Randolph, N.Y",1905,27,YB1905.pdf
General,,,,officers,,president,E.,E. Langdon,Langdon,,,"61 Whitmore St., Hartford, Conn",1905,28,YB1905.pdf
General,,,,officers,,vice-president,D. B.,D. B. Parmelee,Parmelee,,,"Middletown, Conn. VERMONT CONFERENCE. Organized 1863. Territory: The State of Vermont. Population: 343,641. Membership: 549; churches, 19. Office: 190 North Winooski Ave., Burlington, Vt",1905,28,YB1905.pdf
General,,,,officers,,vice-president,J.,J. Irene,Irene,,,"Middletown, Conn. VERMONT CONFERENCE. Organized 1863. Territory: The State of Vermont. Population: 343,641. Membership: 549; churches, 19. Office: 190 North Winooski Ave., Burlington, Vt",1905,28,YB1905.pdf
